Episode: 201/1000, Scores(Time Frames): 209, Total Rewards(adjusted): 7.5e+02, Epsilon: 0.1
Episode: 202/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 203/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+02, Epsilon: 0.1
Episode: 204/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.7e+02, Epsilon: 0.1
Episode: 205/1000, Scores(Time Frames): 167, Total Rewards(adjusted): 4.5e+02, Epsilon: 0.1
Episode: 206/1000, Scores(Time Frames): 152, Total Rewards(adjusted): 5.8e+02, Epsilon: 0.1
Episode: 207/1000, Scores(Time Frames): 229, Total Rewards(adjusted): 5.5e+02, Epsilon: 0.1
Episode: 208/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.7e+01, Epsilon: 0.1
Episode: 209/1000, Scores(Time Frames): 301, Total Rewards(adjusted): 1.1e+03, Epsilon: 0.1
Episode: 210/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.6e+02, Epsilon: 0.1
Episode: 211/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.1
Episode: 212/1000, Scores(Time Frames): 175, Total Rewards(adjusted): 6.8e+02, Epsilon: 0.1
Episode: 213/1000, Scores(Time Frames): 257, Total Rewards(adjusted): 1e+03, Epsilon: 0.1
Episode: 214/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.6e+01, Epsilon: 0.1
Episode: 215/1000, Scores(Time Frames): 128, Total Rewards(adjusted): 5.4e+02, Epsilon: 0.1
Episode: 216/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.1
Episode: 217/1000, Scores(Time Frames): 326, Total Rewards(adjusted): 1.1e+03, Epsilon: 0.1
Episode: 218/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 219/1000, Scores(Time Frames): 133, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.1
Episode: 220/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.1
Episode: 221/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.1
Episode: 222/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.9e+02, Epsilon: 0.1
Episode: 223/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.4e+02, Epsilon: 0.1
Episode: 224/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 225/1000, Scores(Time Frames): 204, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.1
Episode: 226/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 227/1000, Scores(Time Frames): 139, Total Rewards(adjusted): 2e+02, Epsilon: 0.1
Episode: 228/1000, Scores(Time Frames): 255, Total Rewards(adjusted): 1e+03, Epsilon: 0.1
Episode: 229/1000, Scores(Time Frames): 247, Total Rewards(adjusted): 1e+03, Epsilon: 0.1
Episode: 230/1000, Scores(Time Frames): 254, Total Rewards(adjusted): 6e+02, Epsilon: 0.1
Episode: 231/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 9.2e+01, Epsilon: 0.1
Episode: 232/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.3e+01, Epsilon: 0.1
Episode: 233/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+02, Epsilon: 0.1
Episode: 234/1000, Scores(Time Frames): 217, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.1
Episode: 235/1000, Scores(Time Frames): 185, Total Rewards(adjusted): 6.2e+02, Epsilon: 0.1
Episode: 236/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.1
Episode: 237/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.4e+02, Epsilon: 0.1
Episode: 238/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.1
Episode: 239/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 240/1000, Scores(Time Frames): 179, Total Rewards(adjusted): 7.3e+02, Epsilon: 0.1
Episode: 241/1000, Scores(Time Frames): 239, Total Rewards(adjusted): 8.4e+02, Epsilon: 0.1
Episode: 242/1000, Scores(Time Frames): 132, Total Rewards(adjusted): 3.8e+02, Epsilon: 0.1
