Episode: 210/1000, Scores(Time Frames): 272, Total Rewards(adjusted): 1.8e+02, Epsilon: 0.18
Episode: 211/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6e+01, Epsilon: 0.18
Episode: 212/1000, Scores(Time Frames): 265, Total Rewards(adjusted): 2.6e+02, Epsilon: 0.18
Episode: 213/1000, Scores(Time Frames): 342, Total Rewards(adjusted): 4e+02, Epsilon: 0.18
Episode: 214/1000, Scores(Time Frames): 328, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.17
Episode: 215/1000, Scores(Time Frames): 484, Total Rewards(adjusted): 3.9e+02, Epsilon: 0.17
Episode: 216/1000, Scores(Time Frames): 298, Total Rewards(adjusted): 2.4e+02, Epsilon: 0.17
Episode: 217/1000, Scores(Time Frames): 150, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.17
Episode: 218/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.3e+01, Epsilon: 0.17
Episode: 219/1000, Scores(Time Frames): 399, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.16
Episode: 220/1000, Scores(Time Frames): 370, Total Rewards(adjusted): 3.4e+02, Epsilon: 0.16
Episode: 221/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.5e+01, Epsilon: 0.16
Episode: 222/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3e+01, Epsilon: 0.16
Episode: 223/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6e+01, Epsilon: 0.16
Episode: 224/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3e+01, Epsilon: 0.15
Episode: 225/1000, Scores(Time Frames): 275, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.15
Episode: 226/1000, Scores(Time Frames): 149, Total Rewards(adjusted): 5.2e+01, Epsilon: 0.15
Episode: 227/1000, Scores(Time Frames): 173, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.15
Episode: 228/1000, Scores(Time Frames): 450, Total Rewards(adjusted): 3.7e+02, Epsilon: 0.15
Episode: 229/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.3e+01, Epsilon: 0.15
Episode: 230/1000, Scores(Time Frames): 309, Total Rewards(adjusted): 2.6e+02, Epsilon: 0.14
Episode: 231/1000, Scores(Time Frames): 238, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.14
Episode: 232/1000, Scores(Time Frames): 265, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.14
Episode: 233/1000, Scores(Time Frames): 359, Total Rewards(adjusted): 3.2e+02, Epsilon: 0.14
Episode: 234/1000, Scores(Time Frames): 209, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.14
Episode: 235/1000, Scores(Time Frames): 211, Total Rewards(adjusted): 2e+02, Epsilon: 0.14
Episode: 236/1000, Scores(Time Frames): 224, Total Rewards(adjusted): 2.5e+02, Epsilon: 0.13
Episode: 237/1000, Scores(Time Frames): 234, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.13
Episode: 238/1000, Scores(Time Frames): 393, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.13
Episode: 239/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.3e+01, Epsilon: 0.13
Episode: 240/1000, Scores(Time Frames): 168, Total Rewards(adjusted): 1.1e+02, Epsilon: 0.13
Episode: 241/1000, Scores(Time Frames): 196, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.13
Episode: 242/1000, Scores(Time Frames): 330, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.12
Episode: 243/1000, Scores(Time Frames): 240, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.12
Episode: 244/1000, Scores(Time Frames): 276, Total Rewards(adjusted): 2.5e+02, Epsilon: 0.12
Episode: 245/1000, Scores(Time Frames): 342, Total Rewards(adjusted): 4.8e+02, Epsilon: 0.12
